year,Predicted_PV_MWh,Lower_Bound_MWh,Upper_Bound_MWh
2026,-2602041.3904597536,-4731575.976549743,-470087.1528169478
2027,-7171712.4629066195,-9636117.295488292,-4754003.624534649
2028,-11778107.787363995,-15137833.038998658,-8530970.355953457
2029,-16323454.030423379,-21083699.00787876,-11677350.08438466
2030,-19198161.817430243,-25247218.436276242,-13281902.604075465
